lat,lng,crime_type,severity,timestamp,zone,source,status
23.09284,72.60931,Fraud,4,2026-01-21T12:15:33Z,SG Highway,Cyber,Under Investigation
22.99247,72.6861,Theft,3,2026-05-27T05:29:55Z,Bapunagar,FIR,Open
22.91716,72.64193,Fraud,2,2026-01-13T13:56:10Z,Ghatlodia,Cyber,Under Investigation
22.98949,72.60722,Theft,3,2025-01-24T02:04:06Z,Paldi,Cyber,Closed
23.04238,72.54266,Assault,3,2025-05-03T19:50:44Z,Bapunagar,Cyber,Closed
22.97876,72.68529,Assault,4,2025-09-06T08:06:51Z,Bapunagar,Cyber,Closed
22.99764,72.60484,Fraud,3,2025-02-16T08:37:47Z,Maninagar,Patrol,Under Investigation
22.90153,72.62831,Fraud,2,2026-05-20T11:57:30Z,SG Highway,Patrol,Open
22.90929,72.54483,Cyber,5,2026-02-23T00:21:11Z,Satellite,Cyber,Open
23.08272,72.66598,Theft,3,2026-01-11T18:24:04Z,Vastrapur,FIR,Open
22.90463,72.56313,Theft,2,2026-05-01T11:41:10Z,Satellite,Patrol,Under Investigation
22.96529,72.5262,Vandalism,1,2025-09-08T14:07:42Z,Ghatlodia,Patrol,Open
23.01195,72.50378,Assault,5,2025-05-14T19:02:21Z,Navrangpura,Cyber,Closed
22.9208,72.68184,Assault,5,2026-05-01T17:13:02Z,Maninagar,Manual,Closed
23.06178,72.61386,Assault,3,2025-10-16T10:17:24Z,Maninagar,Cyber,Under Investigation
22.97731,72.57215,Cyber,3,2025-10-24T15:23:59Z,Bapunagar,Manual,Open
23.05752,72.5317,Assault,3,2025-10-20T00:06:30Z,Vastrapur,Patrol,Open
22.97554,72.5578,Theft,2,2025-08-16T08:14:07Z,Maninagar,Patrol,Under Investigation
23.04719,72.56303,Assault,4,2026-04-26T08:28:04Z,Navrangpura,FIR,Under Investigation
23.03767,72.5654,Fraud,3,2025-05-20T13:15:38Z,Vastrapur,Patrol,Closed
23.05503,72.58875,Vandalism,3,2025-04-17T13:55:34Z,Ghatlodia,Cyber,Open
22.93289,72.68022,Theft,1,2025-05-29T22:50:57Z,Satellite,Patrol,Open
22.94773,72.60533,Fraud,4,2026-02-12T16:32:34Z,Bapunagar,Manual,Open
23.02169,72.54117,Vandalism,3,2025-03-30T10:03:44Z,Vastrapur,Patrol,Closed
23.06279,72.6271,Vandalism,1,2025-11-29T14:23:42Z,Satellite,Manual,Open
22.96314,72.65392,Theft,3,2026-01-23T14:00:20Z,Navrangpura,Cyber,Under Investigation
23.03709,72.52517,Cyber,4,2025-02-17T21:28:03Z,Maninagar,Patrol,Closed
22.95343,72.66534,Vandalism,1,2026-01-23T04:19:48Z,Vastrapur,Patrol,Open
22.91842,72.59642,Theft,3,2025-02-25T14:25:06Z,Vastrapur,FIR,Under Investigation
23.05179,72.54833,Vandalism,2,2026-01-04T21:46:56Z,Satellite,FIR,Open
22.93222,72.62286,Vandalism,1,2025-12-06T20:45:42Z,SG Highway,FIR,Open
23.08272,72.61471,Vandalism,2,2026-02-07T05:21:47Z,Vastrapur,Cyber,Closed
23.02744,72.52092,Fraud,3,2025-10-08T15:34:49Z,SG Highway,Cyber,Closed
22.98284,72.64344,Vandalism,2,2025-12-14T01:58:49Z,SG Highway,Manual,Closed
23.07005,72.6919,Cyber,5,2025-07-17T03:10:59Z,Ghatlodia,Cyber,Closed
22.92036,72.54195,Theft,1,2026-05-11T14:20:16Z,Satellite,FIR,Open
22.9163,72.54569,Vandalism,1,2025-05-23T16:56:59Z,Paldi,Manual,Under Investigation
23.03764,72.52177,Vandalism,3,2025-09-16T14:40:26Z,Paldi,Patrol,Open
22.90976,72.65515,Vandalism,1,2025-09-19T06:48:23Z,Bapunagar,Patrol,Under Investigation
23.0591,72.57797,Cyber,3,2025-12-26T13:32:33Z,Satellite,Manual,Closed
23.07702,72.64624,Assault,5,2026-04-01T10:03:45Z,Navrangpura,Manual,Closed
22.98783,72.57873,Vandalism,1,2025-05-14T18:25:56Z,Paldi,Manual,Closed
22.93365,72.64165,Fraud,3,2025-03-24T13:18:18Z,Satellite,Cyber,Closed
23.08579,72.55635,Cyber,4,2025-09-19T05:33:57Z,SG Highway,Cyber,Under Investigation
23.05638,72.60695,Theft,3,2025-11-29T22:24:23Z,SG Highway,FIR,Closed
23.00233,72.63716,Theft,3,2025-05-19T08:44:52Z,Satellite,Patrol,Under Investigation
23.0506,72.66884,Vandalism,1,2025-08-12T10:35:10Z,Vastrapur,FIR,Under Investigation
23.03902,72.54024,Cyber,5,2025-08-20T10:43:15Z,Maninagar,Patrol,Closed
23.02648,72.6215,Theft,1,2025-09-07T06:08:48Z,Navrangpura,FIR,Open
22.9436,72.6309,Theft,2,2025-08-08T00:36:16Z,Satellite,Cyber,Under Investigation
23.05355,72.55535,Cyber,5,2025-10-16T13:25:28Z,Bapunagar,Cyber,Under Investigation
22.91291,72.62553,Cyber,5,2025-01-15T14:01:27Z,Bapunagar,Manual,Open
23.09156,72.59517,Vandalism,2,2025-07-22T03:50:24Z,Satellite,Patrol,Open
22.96505,72.54175,Assault,3,2025-12-18T20:40:39Z,Maninagar,Patrol,Under Investigation
23.01305,72.54667,Vandalism,3,2025-08-27T07:40:57Z,Paldi,FIR,Under Investigation
22.95165,72.56392,Assault,5,2025-05-12T12:10:22Z,Ghatlodia,Cyber,Open
22.90811,72.54204,Vandalism,3,2025-09-13T09:43:00Z,Satellite,Cyber,Open
22.91648,72.53413,Cyber,4,2025-03-15T03:38:33Z,SG Highway,Patrol,Closed
23.08316,72.52779,Vandalism,2,2025-10-30T15:11:24Z,SG Highway,Patrol,Under Investigation
23.06554,72.67956,Theft,2,2026-01-09T07:21:23Z,Vastrapur,Patrol,Under Investigation
23.09031,72.59555,Fraud,4,2025-04-25T06:08:45Z,Bapunagar,FIR,Open
23.0767,72.5135,Fraud,3,2025-08-23T14:05:30Z,Satellite,FIR,Under Investigation
23.01268,72.55372,Cyber,5,2025-04-23T20:10:43Z,Maninagar,Manual,Closed
22.93737,72.62168,Theft,3,2025-02-23T21:47:52Z,Maninagar,Cyber,Under Investigation
23.04271,72.57936,Assault,3,2026-02-28T18:09:00Z,Bapunagar,Manual,Open
22.91738,72.62439,Vandalism,2,2025-06-04T02:18:44Z,Vastrapur,Manual,Closed
23.07027,72.63715,Theft,3,2026-04-09T04:58:42Z,Satellite,Cyber,Closed
23.09992,72.52549,Fraud,3,2025-11-27T19:48:29Z,Maninagar,FIR,Under Investigation
23.02054,72.62121,Assault,5,2026-04-21T19:19:58Z,Navrangpura,FIR,Open
23.00655,72.56644,Cyber,4,2025-04-06T11:23:39Z,Ghatlodia,Patrol,Open
23.05517,72.69546,Vandalism,2,2025-04-12T11:06:05Z,Navrangpura,Cyber,Open
23.02245,72.65933,Fraud,2,2026-05-01T09:40:07Z,Maninagar,FIR,Open
22.9458,72.54667,Fraud,4,2025-03-06T18:37:35Z,Vastrapur,FIR,Open
22.99654,72.68101,Assault,5,2026-01-29T22:47:48Z,SG Highway,FIR,Open
22.98718,72.58695,Vandalism,1,2025-10-27T19:34:41Z,SG Highway,Manual,Under Investigation
23.02924,72.69771,Fraud,3,2025-06-08T01:41:17Z,Bapunagar,Manual,Closed
23.03056,72.6039,Cyber,4,2025-01-05T13:02:14Z,SG Highway,Cyber,Under Investigation
23.03534,72.69253,Cyber,4,2025-12-27T12:27:33Z,Maninagar,Patrol,Under Investigation
22.99137,72.64519,Cyber,5,2026-04-11T05:06:53Z,Ghatlodia,FIR,Under Investigation
23.09741,72.62768,Cyber,3,2025-03-22T13:08:59Z,Paldi,Cyber,Under Investigation
22.99754,72.50237,Assault,3,2025-12-14T00:35:27Z,SG Highway,FIR,Open
23.09207,72.58214,Fraud,3,2025-04-10T16:36:09Z,Vastrapur,Patrol,Closed
22.96237,72.50048,Fraud,3,2026-01-04T05:05:08Z,Ghatlodia,Cyber,Open
23.0341,72.55711,Cyber,3,2025-01-17T09:43:18Z,Navrangpura,Patrol,Closed
22.91736,72.57497,Vandalism,1,2025-05-11T08:04:35Z,Maninagar,Manual,Open
23.03809,72.60652,Vandalism,2,2025-09-20T04:54:12Z,Navrangpura,Cyber,Closed
23.09152,72.64113,Theft,2,2026-05-17T21:34:08Z,Bapunagar,FIR,Open
22.98132,72.61037,Cyber,3,2026-03-14T11:50:52Z,Maninagar,Patrol,Closed
23.07623,72.51479,Cyber,5,2025-03-20T12:17:20Z,Satellite,Manual,Under Investigation
23.05373,72.69557,Vandalism,2,2025-07-29T22:07:13Z,Vastrapur,Patrol,Closed
23.09672,72.57999,Assault,3,2025-09-08T20:52:20Z,Ghatlodia,Cyber,Under Investigation
23.02483,72.57924,Vandalism,1,2025-08-14T10:13:47Z,Ghatlodia,FIR,Under Investigation
22.97641,72.67412,Fraud,4,2025-11-03T11:31:31Z,Bapunagar,Manual,Under Investigation
22.96217,72.66316,Theft,3,2025-05-23T16:47:37Z,Vastrapur,Manual,Open
22.92083,72.65618,Fraud,2,2025-10-16T00:28:55Z,Ghatlodia,Manual,Open
22.95861,72.62761,Fraud,4,2025-10-10T00:37:48Z,Maninagar,FIR,Open
22.96297,72.64737,Assault,3,2025-09-05T17:18:03Z,Navrangpura,FIR,Closed
23.07423,72.52823,Assault,5,2026-01-06T09:21:14Z,Bapunagar,Cyber,Closed
23.03069,72.65539,Vandalism,2,2025-04-14T01:16:24Z,Ghatlodia,Manual,Under Investigation
22.95007,72.52255,Vandalism,3,2025-03-06T23:26:31Z,Vastrapur,Patrol,Open
23.09821,72.53617,Assault,4,2026-06-01T21:44:31Z,Satellite,FIR,Closed
23.07598,72.59441,Fraud,4,2025-05-05T01:01:24Z,Maninagar,Cyber,Closed
22.9525,72.52327,Vandalism,1,2025-02-09T23:00:30Z,Paldi,Patrol,Under Investigation
23.03881,72.60777,Fraud,2,2026-03-14T18:46:50Z,Satellite,Cyber,Under Investigation
22.94861,72.6083,Fraud,3,2025-11-11T10:56:30Z,Bapunagar,Cyber,Closed
22.90462,72.62169,Assault,4,2025-08-30T23:11:57Z,Navrangpura,Patrol,Open
22.93624,72.60634,Assault,4,2026-01-07T11:13:18Z,Navrangpura,Patrol,Open
23.00422,72.65106,Vandalism,3,2026-01-25T14:06:58Z,Navrangpura,Cyber,Open
23.02285,72.59583,Cyber,3,2025-09-27T15:09:17Z,SG Highway,FIR,Closed
22.94024,72.53856,Vandalism,2,2025-02-03T13:30:12Z,Satellite,Cyber,Under Investigation
22.94904,72.6828,Vandalism,3,2025-01-14T11:31:19Z,SG Highway,Cyber,Closed
22.96707,72.63444,Cyber,5,2025-04-23T20:07:06Z,SG Highway,Patrol,Under Investigation
23.03499,72.63373,Assault,5,2025-05-20T20:59:12Z,SG Highway,Cyber,Open
22.95854,72.59653,Assault,4,2025-01-12T00:41:51Z,SG Highway,Patrol,Under Investigation
23.09411,72.50937,Vandalism,2,2025-11-03T12:53:28Z,Satellite,Patrol,Open
23.02703,72.50576,Theft,3,2025-11-20T15:46:33Z,Vastrapur,Manual,Closed
22.96082,72.5924,Theft,3,2025-03-13T01:11:13Z,Paldi,Manual,Under Investigation
22.95685,72.57153,Fraud,2,2025-07-23T18:47:46Z,Maninagar,Patrol,Open
23.07494,72.66753,Fraud,3,2026-01-29T02:02:46Z,Vastrapur,Manual,Closed
23.00063,72.65394,Theft,2,2026-01-07T23:22:20Z,SG Highway,Cyber,Under Investigation
23.04531,72.5028,Fraud,3,2025-01-04T19:33:22Z,Navrangpura,Cyber,Closed
23.06652,72.6053,Assault,5,2025-03-11T07:54:13Z,Maninagar,Manual,Open
23.01946,72.6283,Fraud,3,2025-02-09T14:01:20Z,Maninagar,FIR,Closed
23.03782,72.66659,Fraud,4,2025-12-04T23:23:54Z,Ghatlodia,Manual,Open
23.00238,72.63427,Vandalism,2,2026-05-17T22:59:04Z,Vastrapur,Manual,Under Investigation
22.99426,72.55201,Theft,3,2025-03-10T19:57:15Z,Navrangpura,Manual,Under Investigation
22.90595,72.63617,Fraud,4,2025-01-01T13:02:07Z,Ghatlodia,FIR,Open
22.97839,72.57735,Vandalism,3,2025-08-10T04:56:02Z,Ghatlodia,Patrol,Open
23.01315,72.60198,Vandalism,2,2026-04-22T19:29:52Z,Bapunagar,FIR,Open
22.9783,72.59132,Cyber,5,2026-05-09T08:05:53Z,Bapunagar,Cyber,Closed
22.90041,72.67824,Fraud,3,2026-03-30T11:23:54Z,Maninagar,Manual,Open
23.01056,72.64712,Fraud,3,2025-07-21T02:28:02Z,Ghatlodia,FIR,Open
23.07132,72.55226,Theft,2,2026-04-21T03:32:24Z,Bapunagar,Patrol,Open
22.94085,72.5032,Vandalism,3,2026-03-18T12:18:24Z,Satellite,Patrol,Under Investigation
22.985,72.53035,Cyber,3,2025-05-14T18:15:23Z,Maninagar,Patrol,Under Investigation
22.9479,72.53269,Theft,3,2025-02-07T20:45:28Z,Vastrapur,FIR,Open
22.93104,72.68533,Cyber,5,2026-04-15T22:10:16Z,Navrangpura,Manual,Closed
22.97635,72.61675,Cyber,4,2025-04-19T15:16:51Z,SG Highway,Manual,Closed
22.90781,72.67185,Vandalism,2,2025-01-03T23:30:48Z,Maninagar,Cyber,Closed
22.97003,72.51649,Fraud,3,2025-02-05T17:18:36Z,Ghatlodia,FIR,Open
22.97324,72.55432,Fraud,3,2026-02-02T12:42:03Z,Navrangpura,Manual,Under Investigation
22.98026,72.51072,Assault,4,2025-09-23T15:47:41Z,Bapunagar,Patrol,Closed
22.96357,72.51234,Cyber,3,2025-10-25T14:48:32Z,SG Highway,Patrol,Closed
22.90164,72.67595,Cyber,3,2025-08-24T17:08:13Z,SG Highway,FIR,Closed
23.07289,72.52824,Cyber,5,2025-06-08T16:39:13Z,Paldi,FIR,Open
23.02413,72.60514,Fraud,4,2026-03-29T04:43:15Z,Paldi,FIR,Under Investigation
22.95341,72.63705,Fraud,4,2026-05-19T22:07:36Z,Bapunagar,Cyber,Open
22.98752,72.61171,Vandalism,1,2025-08-24T08:02:52Z,SG Highway,Patrol,Closed
22.90031,72.632,Cyber,3,2026-02-06T08:20:19Z,Bapunagar,FIR,Open
22.91333,72.51288,Vandalism,1,2026-05-23T19:10:54Z,Paldi,Manual,Open
23.05932,72.57515,Cyber,5,2025-02-08T18:43:59Z,Bapunagar,Manual,Under Investigation
23.00285,72.68475,Vandalism,1,2025-09-21T12:42:33Z,SG Highway,Cyber,Open
22.99727,72.50888,Fraud,3,2025-03-04T15:14:24Z,Vastrapur,Cyber,Closed
23.08296,72.66765,Cyber,3,2025-03-11T14:36:13Z,Vastrapur,Patrol,Open
22.90731,72.55807,Theft,3,2026-05-05T10:20:32Z,Vastrapur,Manual,Open
23.0615,72.60604,Fraud,2,2026-04-30T09:40:01Z,Paldi,Patrol,Under Investigation
22.95055,72.51426,Assault,5,2025-03-09T05:16:29Z,Satellite,Patrol,Closed
23.03024,72.6067,Theft,1,2025-05-19T01:37:10Z,Ghatlodia,Cyber,Under Investigation
23.00494,72.60854,Cyber,4,2025-08-13T09:07:16Z,Navrangpura,FIR,Under Investigation
23.08065,72.63027,Fraud,4,2026-05-15T16:56:06Z,Paldi,Patrol,Closed
22.98762,72.63989,Fraud,2,2025-05-26T07:20:33Z,Satellite,Patrol,Under Investigation
22.90931,72.56374,Fraud,3,2025-01-28T21:03:18Z,Bapunagar,Manual,Open
23.02052,72.50302,Assault,4,2025-04-20T18:53:14Z,Vastrapur,Cyber,Open
23.00639,72.5545,Cyber,4,2025-07-24T12:58:52Z,Paldi,Cyber,Under Investigation
23.0175,72.67313,Cyber,5,2025-07-25T09:03:41Z,Navrangpura,Manual,Open
23.00276,72.57513,Cyber,5,2025-03-13T06:00:06Z,Satellite,Cyber,Closed
22.92821,72.57571,Fraud,4,2025-10-05T05:00:42Z,Ghatlodia,Cyber,Closed
22.91169,72.60011,Cyber,3,2025-06-17T05:39:24Z,Ghatlodia,Patrol,Closed
23.06498,72.54216,Vandalism,3,2025-04-14T21:23:41Z,Ghatlodia,Cyber,Under Investigation
22.96499,72.57414,Cyber,3,2025-07-26T12:19:04Z,Satellite,FIR,Open
23.04719,72.68341,Cyber,4,2026-03-03T20:42:35Z,Satellite,FIR,Closed
22.93761,72.53223,Assault,5,2025-01-15T03:30:10Z,Paldi,FIR,Closed
22.93608,72.67502,Assault,3,2025-02-28T00:24:04Z,Satellite,Patrol,Closed
23.01418,72.56932,Assault,5,2026-02-10T09:30:59Z,Vastrapur,FIR,Closed
22.90631,72.60525,Cyber,5,2026-05-01T18:45:36Z,Bapunagar,Patrol,Under Investigation
23.0506,72.55753,Cyber,4,2026-01-19T22:38:48Z,Bapunagar,Manual,Under Investigation
23.02768,72.50126,Fraud,4,2025-12-10T15:21:33Z,SG Highway,Cyber,Closed
22.90109,72.68968,Cyber,5,2025-06-16T10:39:31Z,Vastrapur,Patrol,Under Investigation
22.96208,72.53248,Vandalism,1,2025-09-29T01:28:31Z,Ghatlodia,Manual,Open
22.99571,72.57198,Cyber,3,2025-07-25T05:21:16Z,Ghatlodia,Patrol,Under Investigation
22.91347,72.50869,Fraud,3,2025-10-01T20:53:26Z,Satellite,Cyber,Open
23.01088,72.52554,Cyber,3,2025-05-21T07:40:30Z,Bapunagar,Patrol,Open
23.02224,72.69746,Cyber,4,2025-11-10T07:27:00Z,Ghatlodia,Cyber,Under Investigation
22.98113,72.69193,Cyber,3,2025-10-13T21:00:03Z,Paldi,Cyber,Open
23.07599,72.61052,Cyber,4,2026-03-27T05:04:11Z,Navrangpura,FIR,Closed
23.08132,72.6037,Assault,5,2025-04-08T18:23:10Z,Satellite,Cyber,Closed
22.91917,72.69017,Cyber,4,2026-03-08T06:21:27Z,Ghatlodia,Cyber,Open
22.98039,72.58819,Cyber,5,2026-05-08T05:00:35Z,Paldi,FIR,Closed
22.93317,72.67457,Theft,3,2025-01-22T15:45:14Z,Ghatlodia,Patrol,Under Investigation
22.91944,72.64301,Cyber,3,2025-02-24T13:38:47Z,Satellite,Patrol,Closed
22.94865,72.5068,Fraud,2,2026-02-25T09:31:02Z,Satellite,Patrol,Under Investigation
22.99241,72.61242,Vandalism,2,2026-05-20T00:22:23Z,Ghatlodia,FIR,Under Investigation
22.90583,72.57748,Vandalism,3,2025-07-17T23:38:35Z,Ghatlodia,Manual,Open
22.96464,72.65869,Fraud,4,2025-02-08T01:51:23Z,Bapunagar,Cyber,Under Investigation
22.94267,72.60301,Vandalism,2,2026-03-15T17:56:53Z,SG Highway,Manual,Closed
22.91111,72.63288,Theft,2,2026-01-18T19:03:15Z,Paldi,FIR,Under Investigation
22.92671,72.64717,Cyber,3,2026-02-10T17:33:01Z,Ghatlodia,Cyber,Under Investigation
23.02707,72.68241,Assault,5,2025-06-29T07:01:29Z,Maninagar,Cyber,Under Investigation
23.02075,72.5283,Vandalism,2,2025-11-27T15:36:29Z,Satellite,FIR,Closed
22.90491,72.66184,Vandalism,1,2025-10-01T23:51:15Z,Ghatlodia,Cyber,Under Investigation
23.04023,72.52605,Vandalism,3,2025-01-20T06:34:29Z,Satellite,Manual,Closed
23.08975,72.62219,Fraud,2,2025-03-13T14:41:07Z,Bapunagar,Manual,Open
23.06668,72.63871,Vandalism,1,2025-08-18T09:10:02Z,SG Highway,Patrol,Open
23.06431,72.62798,Theft,1,2026-05-16T14:42:02Z,Satellite,Patrol,Under Investigation
22.90674,72.64787,Theft,2,2025-11-21T07:10:44Z,Navrangpura,Manual,Closed
22.90375,72.54185,Vandalism,3,2025-07-08T19:58:00Z,Bapunagar,Manual,Closed
23.07329,72.50172,Fraud,2,2026-03-16T16:35:16Z,Satellite,FIR,Closed
22.97371,72.66466,Fraud,4,2026-05-10T11:35:11Z,SG Highway,Manual,Open
22.96108,72.58381,Fraud,4,2025-10-03T13:09:30Z,Ghatlodia,FIR,Under Investigation
23.08241,72.59812,Fraud,3,2026-03-31T13:38:28Z,Bapunagar,Manual,Closed
22.95012,72.64322,Cyber,4,2025-08-18T23:40:52Z,Maninagar,FIR,Under Investigation
22.94305,72.63123,Assault,5,2026-03-02T14:32:39Z,Satellite,Cyber,Under Investigation
23.05482,72.62995,Theft,1,2025-09-18T06:56:23Z,Bapunagar,FIR,Closed
23.09134,72.50848,Vandalism,1,2025-06-11T07:16:17Z,Paldi,Cyber,Under Investigation
23.06468,72.50151,Fraud,3,2025-07-28T02:19:03Z,Ghatlodia,Manual,Under Investigation
23.04184,72.61658,Cyber,4,2025-08-27T13:57:10Z,Ghatlodia,FIR,Under Investigation
23.01014,72.66383,Vandalism,1,2026-04-03T15:55:35Z,Satellite,FIR,Closed
22.93791,72.60327,Assault,5,2025-10-21T23:30:32Z,Navrangpura,Manual,Open
23.00525,72.6834,Cyber,4,2025-03-20T01:21:08Z,Navrangpura,Cyber,Closed
22.95639,72.69981,Theft,3,2025-11-27T11:14:10Z,Maninagar,FIR,Under Investigation
22.91687,72.54981,Vandalism,3,2025-09-23T01:50:04Z,Paldi,FIR,Open
22.94252,72.54617,Assault,5,2025-04-03T02:08:22Z,Navrangpura,Patrol,Open
22.96561,72.53737,Theft,3,2025-05-21T17:56:03Z,Maninagar,Manual,Open
22.98825,72.55282,Theft,3,2025-06-06T18:35:58Z,SG Highway,Cyber,Closed
23.05981,72.55924,Fraud,4,2025-10-19T00:39:16Z,SG Highway,Patrol,Open
23.05724,72.54936,Vandalism,1,2025-01-24T04:36:50Z,Vastrapur,Patrol,Open
22.99746,72.53702,Cyber,3,2026-05-29T20:57:36Z,SG Highway,Cyber,Open
22.92354,72.59187,Cyber,5,2026-05-21T11:06:24Z,Maninagar,Cyber,Under Investigation
23.09755,72.60318,Cyber,3,2026-01-01T17:12:22Z,Satellite,Patrol,Open
23.00101,72.69653,Vandalism,3,2025-04-30T22:58:41Z,SG Highway,Cyber,Under Investigation
23.08957,72.53612,Assault,5,2025-02-26T12:56:40Z,Navrangpura,Patrol,Open
23.08905,72.63734,Cyber,3,2026-01-15T13:24:12Z,Maninagar,Patrol,Closed
22.95668,72.64453,Assault,4,2026-04-26T20:19:53Z,SG Highway,Cyber,Closed
23.06962,72.54902,Cyber,3,2026-02-15T22:56:47Z,SG Highway,Manual,Closed
22.99285,72.63623,Theft,3,2025-01-07T20:00:00Z,Satellite,Patrol,Under Investigation
22.94652,72.60052,Theft,3,2025-02-13T07:58:45Z,Paldi,Patrol,Open
23.00421,72.66416,Fraud,3,2026-03-28T14:26:10Z,Paldi,Cyber,Closed
23.05697,72.58468,Cyber,4,2025-07-15T12:02:27Z,Vastrapur,Patrol,Closed
22.92813,72.68276,Cyber,3,2025-04-30T00:42:31Z,Paldi,FIR,Under Investigation
23.05786,72.52547,Assault,3,2025-02-17T04:55:06Z,Bapunagar,Cyber,Open
22.93495,72.65192,Vandalism,3,2026-06-01T07:53:28Z,Navrangpura,Manual,Closed
23.03688,72.6699,Vandalism,3,2026-01-13T19:53:23Z,Satellite,Patrol,Closed
23.02902,72.69642,Cyber,4,2025-03-01T10:21:21Z,Navrangpura,Patrol,Under Investigation
23.08888,72.54307,Fraud,3,2026-04-12T13:12:08Z,Ghatlodia,Manual,Closed
23.09004,72.69823,Assault,4,2026-04-12T14:32:18Z,Bapunagar,Patrol,Closed
23.00608,72.53326,Theft,3,2026-01-08T14:18:12Z,SG Highway,Manual,Closed
23.07671,72.67027,Fraud,3,2026-04-18T14:30:36Z,Navrangpura,Patrol,Closed
22.99135,72.62453,Vandalism,3,2026-03-10T07:49:08Z,Ghatlodia,FIR,Open
22.9371,72.56635,Assault,3,2025-12-05T10:43:45Z,Satellite,Manual,Closed
23.00879,72.53823,Theft,3,2025-03-23T11:45:05Z,Ghatlodia,Cyber,Under Investigation
22.9335,72.61856,Theft,1,2025-10-05T20:26:35Z,Maninagar,Cyber,Closed
22.90054,72.52043,Assault,3,2026-04-24T11:26:00Z,Maninagar,FIR,Open
22.9965,72.64129,Fraud,4,2025-12-03T14:00:31Z,Maninagar,Patrol,Under Investigation
23.06383,72.62386,Fraud,4,2025-07-18T21:56:35Z,Satellite,Manual,Under Investigation
23.08168,72.56732,Cyber,5,2026-02-11T08:34:40Z,Satellite,Manual,Open
22.9824,72.63598,Theft,1,2025-01-30T08:35:36Z,SG Highway,Patrol,Closed
22.90119,72.57792,Cyber,5,2026-03-22T06:06:48Z,Ghatlodia,Patrol,Open
22.99012,72.69432,Vandalism,1,2025-04-30T03:47:18Z,Satellite,Patrol,Closed
23.02424,72.51979,Fraud,3,2025-06-28T07:11:55Z,Bapunagar,Manual,Closed
22.97422,72.64803,Fraud,3,2025-11-10T16:42:37Z,Satellite,Manual,Under Investigation
22.93074,72.66947,Vandalism,3,2025-01-08T04:37:32Z,Maninagar,Patrol,Closed
22.97158,72.66761,Cyber,3,2025-12-03T04:53:56Z,Satellite,Manual,Open
22.90811,72.60008,Assault,4,2025-10-05T17:48:08Z,Maninagar,Patrol,Under Investigation
23.07484,72.6885,Theft,1,2025-12-05T05:31:33Z,Bapunagar,Cyber,Open
22.98386,72.66678,Cyber,4,2025-05-03T17:06:33Z,Satellite,FIR,Closed
